train_loss,valid_loss,accuracy,f2_score
1.02456,1.1037,0.3789,0.845899471
1.019930984,1.096778545,0.408015532,0.416666667
1.013924539,1.085806856,0.40670152,0.933691756
1.003022201,1.079082262,0.40967712,0.416666667
0.996831734,1.076420244,0.405059139,0.898225957
0.978151191,1.075819908,0.404335434,0.498225957
0.976687913,1.069830065,0.41274806,0.888225957
0.959459109,1.058891753,0.407870329,0.416666667
0.957414884,1.058422381,0.412303619,0.794926004
0.947492395,1.057512579,0.411689345,0.416666667
0.943498844,1.050787944,0.405539307,0.671296296
0.932693894,1.042512993,0.434884664,0.371296296
0.919954482,1.035568335,0.432695678,0.942486085
0.918406767,1.02629068,0.437037872,0.326086957
0.916859053,1.017013025,0.432925808,0.953823954
0.915311338,1.00773537,0.440189055,0.416666667
0.913763623,0.998457715,0.439213418,0.727807971
0.912215908,0.98918006,0.432839987,0.527807971
0.910668193,0.979902405,0.436376709,0.790935673
0.909120479,0.97062475,0.430453389,0.590935673
0.907572764,0.961347095,0.438651604,0.790935673
0.906025049,0.95206944,0.445552844,0.550935673
0.904477334,0.942791785,0.439648112,0.790935673
0.90292962,0.93351413,0.437585975,0.790935673
0.819836345,0.969516677,0.43752364,0.837667455
0.799855436,0.966760728,0.442760803,0.637667455
0.796988617,0.959157694,0.458410312,0.840996169
0.779359101,0.955240131,0.469530376,0.716666667
0.774498417,0.945267907,0.495797727,0.835978836
0.769131357,0.93755452,0.490928769,0.635978836
0.765511628,0.9269055,0.50471891,0.811843712
0.761848835,0.923550904,0.522678829,0.716666667
0.751586561,0.922302911,0.530446435,0.816666667
0.750875436,0.917706349,0.525438354,0.816666667
0.74749173,0.909878677,0.55085945,0.883928571
0.732718352,0.899365765,0.548137092,0.873928571
0.732657818,0.891532177,0.546691168,0.943928571
0.728828567,0.8806736,0.54123183,0.883928571
0.719038643,0.877328721,0.554727822,0.898076923
0.699689776,0.867057552,0.552474471,0.816666667
0.687612887,0.857369555,0.579990818,0.953691756
0.687432795,0.84746509,0.575301274,0.933691756
0.683758179,0.842974597,0.607768321,0.923295455
0.669865438,0.836226412,0.605441733,0.623295455
0.650993653,0.83530031,0.621928041,0.791666667
0.642617436,0.826167971,0.61829036,0.731666667
0.630348139,0.825120587,0.614041256,0.951955782
0.61423357,0.82150929,0.6268671,0.821955782
0.598160794,0.820214359,0.625998966,0.951955782
0.590997359,0.810030255,0.643143799,0.851955782
0.574734596,0.799830789,0.63769562,0.873296646
0.562835715,0.798398072,0.631562016,0.853296646
0.531845201,0.796620399,0.647163337,0.938518519
0.523036279,0.791238211,0.662055495,0.923756
0.514227356,0.785312521,0.66108435,0.938518519
0.505418433,0.780100866,0.658816617,0.923756
0.496609511,0.773590341,0.680242241,0.958518519
0.487800588,0.764602919,0.708076272,0.938756
0.478991666,0.753828803,0.701780515,0.416666667
0.470182743,0.744323125,0.706442213,0.671296296
0.46137382,0.734757882,0.701819834,0.371296296
0.452564898,0.730690258,0.700923812,0.942486085
0.443755975,0.72258301,0.696466778,0.326086957
0.434947053,0.712732985,0.692980859,0.953823954
0.42613813,0.704970716,0.710581264,0.416666667
0.417329208,0.699843292,0.708719093,0.727807971
0.408520285,0.699797101,0.705232173,0.527807971
0.38977296,0.692170586,0.728806998,0.790935673
0.377543189,0.681544296,0.72722612,0.590935673
0.358250162,0.674140876,0.730535773,0.790935673
0.341027425,0.670638169,0.745613363,0.550935673
0.338239082,0.663673539,0.770217002,0.790935673
0.321416344,0.662887955,0.767520944,0.790935673
0.314236131,0.656300474,0.763846373,0.837667455
0.309491591,0.648369182,0.760480973,0.637667455
0.302781311,0.643173039,0.755008726,0.840996169
0.294298503,0.632579312,0.787831921,0.716666667
0.28170315,0.621925789,0.806518289,0.835978836
0.281643504,0.61823121,0.805228943,0.635978836
0.281170311,0.610156212,0.820282829,0.811843712
0.278456098,0.604945089,0.817572532,0.716666667
0.26744939,0.602382868,0.815691977,0.816666667
0.260151088,0.595295357,0.811208626,0.816666667
0.250177131,0.590490109,0.805040686,0.883928571
0.230210605,0.585587159,0.803536644,0.873928571
0.223594718,0.577780389,0.801553274,0.943928571
0.218371311,0.576394441,0.799017451,0.883928571
0.201192535,0.565965744,0.824344329,0.898076923
0.182923202,0.559979918,0.855084393,0.951955782
0.176864268,0.553223093,0.857668949,0.821955782
0.173115495,0.543160293,0.855628097,0.951955782
0.171280215,0.541399874,0.866346041,0.851955782
0.1696115,0.534040609,0.874467845,0.873296646
0.151666252,0.531476579,0.888944177,0.853296646
0.138560434,0.525154481,0.90817019,0.938518519
0.136081261,0.523321026,0.903193495,0.923756
0.128256067,0.518291,0.926613046,0.938518519
0.127061444,0.515370369,0.937355722,0.923756
0.112946168,0.507861928,0.931342926,0.958518519
0.100142403,0.507263144,0.933715093,0.938756
